prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,actors,use_cases,includes,extends,generalizations,total_parsed
51,Public Transport System,medium,a4,3,3,refactored,detect,3,11,0,1,0,15
52,Investment Portfolio System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
56,Mental Health Appointment System,medium,a4,3,3,refactored,detect,3,8,1,0,0,12
57,Student Attendance System,medium,a4,3,3,refactored,detect,4,11,0,0,0,15
59,Scholarship Application System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
60,Passport Application System,small,a4,1,1,refactored,detect,2,6,1,1,0,10
65,Forum and Discussion System,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
67,Software Bug Tracking System,medium,a4,3,3,refactored,detect,4,12,0,1,0,17
69,Conference Registration System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
71,Property Management System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
74,Restaurant Reservation System,medium,a4,3,3,refactored,detect,3,9,0,1,0,13
76,Catering Service System,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
78,Sports League Management,medium,a4,3,3,refactored,detect,4,11,0,0,0,15
80,Freight Tracking System,medium,a4,3,3,refactored,detect,5,10,0,1,0,16
81,Bike Sharing System,medium,a4,3,3,refactored,detect,3,9,0,0,0,12
82,Electric Vehicle Charging Network,small,a4,1,1,refactored,detect,2,5,0,0,0,7
85,Second-Hand Marketplace,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
86,Loyalty Rewards Program,medium,a4,3,3,refactored,detect,4,11,0,1,0,16
87,Subscription Box Service,small,a4,1,1,refactored,detect,2,5,0,0,0,7
88,Flash Sale Platform,small,a4,1,1,refactored,detect,2,5,0,1,0,8
91,Public Complaint Management System,medium,a4,3,3,refactored,detect,4,10,0,1,0,15
92,Tax Authority Portal,medium,a4,3,3,refactored,detect,4,13,0,0,0,17
93,Social Benefits Management System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
94,Municipal Waste Management,medium,a4,3,3,refactored,detect,4,12,0,1,0,17
96,Pet Adoption System,medium,a4,3,3,refactored,detect,4,12,0,1,0,17
97,Neighbourhood Watch App,medium,a4,3,3,refactored,detect,3,9,0,0,0,12
98,Dental Clinic System,medium,a4,3,3,refactored,detect,4,10,0,1,0,15
99,Optometry Clinic System,medium,a4,3,3,refactored,detect,4,10,1,1,0,16
100,Emergency Dispatch System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
103,Medical Imaging System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
105,Tutoring Marketplace,medium,a4,3,3,refactored,detect,3,13,0,0,0,16
106,Language Learning App,medium,a4,3,3,refactored,detect,3,9,0,0,0,12
107,Certification Examination System,medium,a4,3,3,refactored,detect,4,11,0,1,0,16
109,Academic Conference Management System,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
110,Plagiarism Detection System,medium,a4,3,3,refactored,detect,3,9,0,0,0,12
111,Research Grant Management System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
112,Tour Package Booking System,medium,a4,3,3,refactored,detect,3,9,0,1,0,13
113,Vacation Rental Platform,medium,a4,3,3,refactored,detect,4,10,0,0,0,14
114,Hostel Booking System,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
115,City Tour Guide App,small,a4,1,1,refactored,detect,2,6,0,0,0,8
116,Visa Application System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
117,Travel Insurance System,small,a4,1,1,refactored,detect,3,6,0,0,0,9
118,Cruise Booking System,medium,a4,3,3,refactored,detect,3,8,0,1,0,12
120,Crowdfunding Platform,medium,a4,3,3,refactored,detect,4,9,1,0,0,14
121,Accounting System,medium,a4,3,3,refactored,detect,4,13,0,1,0,18
122,Stock Trading Platform,medium,a4,3,3,refactored,detect,3,10,0,1,2,16
123,Budgeting Application,medium,a4,3,3,refactored,detect,3,9,2,0,0,14
124,Cryptocurrency Exchange,medium,a4,3,3,refactored,detect,3,13,1,0,0,17
126,Court Case Management System,medium,a4,3,3,refactored,detect,4,10,0,1,0,15
127,Company Registration System,medium,a4,3,3,refactored,detect,4,11,0,1,0,16
129,Legal Aid Management System,medium,a4,3,3,refactored,detect,4,10,0,0,0,14
130,Electoral Roll Management System,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
131,Carpooling App,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
133,Mentorship Platform,small,a4,1,1,refactored,detect,3,6,0,0,0,9
135,Lost and Found System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
136,Book Club Platform,small,a4,1,1,refactored,detect,2,5,0,0,0,7
138,Livestreaming Platform,small,a4,1,1,refactored,detect,3,6,0,0,0,9
139,Digital Photography Platform,medium,a4,3,3,refactored,detect,3,12,0,0,0,15
140,E-Book Publishing System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
141,Stadium Management System,medium,a4,3,3,refactored,detect,5,12,0,1,0,18
142,Swimming Pool Booking System,medium,a4,3,3,refactored,detect,5,10,1,0,0,16
143,Esports Tournament Platform,medium,a4,3,3,refactored,detect,4,11,0,0,0,15
146,Yoga Class Booking,small,a4,1,1,refactored,detect,2,5,0,0,0,7
147,Climbing Gym Management System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
149,Cybersecurity Incident Reporting System,medium,a4,3,3,refactored,detect,4,10,0,1,0,15
150,IT Asset Management System,small,a4,1,1,refactored,detect,2,6,0,0,0,8
152,Data Backup and Recovery System,medium,a4,3,3,refactored,detect,3,10,1,1,0,15
153,API Management Portal,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
155,Driving School Management System,medium,a4,3,3,refactored,detect,4,9,0,1,0,14
156,Wedding Planning Platform,medium,a4,3,3,refactored,detect,4,11,0,0,0,15
157,Spa and Wellness Booking System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
158,Coworking Space Booking System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
159,Parking Lot Management System,medium,a4,3,3,refactored,detect,4,11,0,1,0,16
160,Escape Room Booking System,medium,a4,3,3,refactored,detect,3,12,2,0,0,17
161,Photography Studio Booking System,medium,a4,3,3,refactored,detect,4,10,0,2,0,16
162,Pet Care Service Booking,small,a4,1,1,refactored,detect,2,6,0,0,0,8
165,Language Translation Service,medium,a4,3,3,refactored,detect,3,11,1,0,0,15
167,Funeral Service Management System,medium,a4,3,3,refactored,detect,4,12,0,1,0,17
169,Baby Equipment Rental Service,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
171,Gift Registry System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
172,Print-on-Demand Platform,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
174,Second-Hand Clothing Marketplace,medium,a4,3,3,refactored,detect,3,12,0,0,0,15
175,Furniture Rental Service,small,a4,1,1,refactored,detect,2,4,0,0,0,6
179,Air Quality Monitoring System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
180,Crop Monitoring System,medium,a4,3,3,refactored,detect,4,9,1,1,0,15
181,Irrigation Control System,medium,a4,3,3,refactored,detect,4,9,1,1,0,15
186,Equipment Maintenance System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
188,Industrial Safety Reporting System,medium,a4,3,3,refactored,detect,4,12,2,0,0,18
189,Product Recall Management System,medium,a4,3,3,refactored,detect,5,11,2,1,0,19
190,Hazardous Materials Tracking System,small,a4,1,1,refactored,detect,3,6,0,0,0,9
191,Military Personnel Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
192,Border Control System,medium,a4,3,3,refactored,detect,4,10,0,1,1,16
193,Graphic Novel Platform,small,a4,1,1,refactored,detect,2,6,0,0,0,8
194,Fan Fiction Community,small,a4,1,1,refactored,detect,2,5,0,0,0,7
7,Hotel Booking System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
10,Ride Sharing Service,small,a4,1,1,refactored,detect,2,5,0,0,0,7
15,Job Portal,small,a4,1,1,refactored,detect,3,6,0,0,0,9
3,Online Store,small,a4,1,1,refactored,detect,2,5,0,0,0,7
9,Food Delivery Platform,small,a4,1,1,refactored,detect,3,5,0,0,0,8
11,Music Streaming Platform,small,a4,1,1,refactored,detect,2,4,0,0,0,6
16,Grocery Delivery Service,small,a4,1,1,refactored,detect,3,5,0,0,0,8
35,Event Ticketing System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
39,School Administration System,small,a4,1,1,refactored,detect,3,4,0,0,0,7
64,Volunteer Management System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
66,IT Help Desk System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
72,Home Services Booking,small,a4,1,1,refactored,detect,2,5,0,0,0,7
73,Construction Project Management,small,a4,1,1,refactored,detect,3,5,0,0,0,8
75,Cafe Order Management,small,a4,1,1,refactored,detect,2,4,1,0,0,7
95,Water Utility Management,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
101,Nursing Home Management System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
102,Rehabilitation Centre System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
119,Mortgage Application System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
134,Alumni Network System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
137,Community Garden Management System,small,a4,1,1,refactored,detect,2,6,0,0,0,8
24,Fitness Tracking App,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
33,Real Estate Listing Platform,small,a4,1,1,refactored,detect,2,5,0,0,0,7
37,Digital Wallet System,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
45,Smart Home Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
48,Document Management System,small,a4,1,1,refactored,detect,3,6,0,0,0,9
58,Course Registration System,small,a4,1,1,refactored,detect,2,6,0,0,0,8
62,E-Voting System,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
70,Museum Ticketing System,medium,a4,3,3,refactored,detect,4,9,1,1,0,15
77,Room Service Management,small,a4,1,1,refactored,detect,2,5,0,0,0,7
79,Tournament Registration System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
178,Solar Energy Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
182,Wildlife Conservation System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
183,Forest Fire Detection System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
184,Factory Floor Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
185,Quality Control System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
12,Video Streaming Platform,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
22,Online Gaming Platform,small,a4,1,1,refactored,detect,2,4,0,0,0,6
28,Customer Relationship Management,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
32,Loan Approval System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
53,Patient Records System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
54,Blood Bank Management,medium,a4,3,3,refactored,detect,5,11,0,0,0,16
55,Veterinary Clinic System,medium,a4,3,3,refactored,detect,3,7,0,0,0,10
61,Driver License Renewal System,medium,a4,3,3,refactored,detect,4,10,1,1,0,16
63,Donation Management System,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
68,Legal Case Management System,medium,a4,3,3,refactored,detect,4,11,1,0,0,16
83,Port Management System,medium,a4,3,3,refactored,detect,5,8,0,1,0,14
84,Online Auction Platform,medium,a4,3,3,refactored,detect,4,11,1,0,0,16
89,Wholesale Distribution System,medium,a4,3,3,refactored,detect,3,9,0,1,0,13
90,Broadcasting Management System,medium,a4,3,3,refactored,detect,4,9,0,1,0,14
104,Clinical Trial Management System,medium,a4,3,3,refactored,detect,5,9,0,0,0,14
164,Self-Storage Facility System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
176,Farm Management System,small,a4,1,1,refactored,detect,2,6,0,0,0,8
177,Agricultural Marketplace,small,a4,1,1,refactored,detect,3,6,0,0,0,9
108,Kindergarten Management System,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
128,Land Registry System,medium,a4,3,3,refactored,detect,5,7,0,0,0,12
144,Athlete Training System,medium,a4,3,3,refactored,detect,3,9,1,1,0,14
145,Sports Equipment Rental,medium,a4,3,3,refactored,detect,2,8,0,1,0,11
148,Network Monitoring System,medium,a4,3,3,refactored,detect,4,9,0,1,0,14
151,Software License Management System,medium,a4,3,3,refactored,detect,4,9,0,1,0,14
154,Remote Desktop Service,small,a4,1,1,refactored,detect,2,5,0,0,0,7
163,Laundry Pickup Service,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
166,Event Decoration Booking System,medium,a4,3,3,refactored,detect,3,9,0,2,0,14
168,Notary Service Booking System,small,a4,1,1,refactored,detect,2,6,0,0,0,8
125,Microfinance System,medium,a4,3,3,refactored,detect,4,9,0,0,0,13
132,Skill Sharing Platform,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
173,Vending Machine Management System,medium,a4,3,3,refactored,detect,3,9,0,0,0,12
187,Assembly Line Monitoring System,medium,a4,3,3,refactored,detect,3,8,0,1,0,12
170,Price Comparison Portal,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
