prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,actors,use_cases,includes,extends,generalizations,total_parsed
80,Freight Tracking System,medium,a4,3,3,antipattern,detect,5,13,3,1,0,22
81,Bike Sharing System,medium,a4,3,3,antipattern,detect,3,12,3,0,0,18
82,Electric Vehicle Charging Network,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
85,Second-Hand Marketplace,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
86,Loyalty Rewards Program,medium,a4,3,3,antipattern,detect,4,14,3,1,0,22
87,Subscription Box Service,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
88,Flash Sale Platform,small,a4,1,1,antipattern,detect,2,6,1,1,0,10
91,Public Complaint Management System,medium,a4,3,3,antipattern,detect,4,13,3,1,0,21
92,Tax Authority Portal,medium,a4,3,3,antipattern,detect,4,16,3,0,0,23
93,Social Benefits Management System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
94,Municipal Waste Management,medium,a4,3,3,antipattern,detect,4,15,3,1,0,23
96,Pet Adoption System,medium,a4,3,3,antipattern,detect,4,15,3,1,0,23
97,Neighbourhood Watch App,medium,a4,3,3,antipattern,detect,3,12,3,0,0,18
98,Dental Clinic System,medium,a4,3,3,antipattern,detect,4,13,3,1,0,21
99,Optometry Clinic System,medium,a4,3,3,antipattern,detect,4,13,4,1,0,22
100,Emergency Dispatch System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
103,Medical Imaging System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
105,Tutoring Marketplace,medium,a4,3,3,antipattern,detect,3,16,3,0,0,22
106,Language Learning App,medium,a4,3,3,antipattern,detect,3,12,3,0,0,18
107,Certification Examination System,medium,a4,3,3,antipattern,detect,4,14,3,1,0,22
109,Academic Conference Management System,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
110,Plagiarism Detection System,medium,a4,3,3,antipattern,detect,3,12,3,0,0,18
111,Research Grant Management System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
112,Tour Package Booking System,medium,a4,3,3,antipattern,detect,3,12,3,1,0,19
113,Vacation Rental Platform,medium,a4,3,3,antipattern,detect,4,13,3,0,0,20
114,Hostel Booking System,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
115,City Tour Guide App,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
116,Visa Application System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
117,Travel Insurance System,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
118,Cruise Booking System,medium,a4,3,3,antipattern,detect,3,11,3,1,0,18
120,Crowdfunding Platform,medium,a4,3,3,antipattern,detect,4,12,4,0,0,20
121,Accounting System,medium,a4,3,3,antipattern,detect,4,16,3,1,0,24
122,Stock Trading Platform,medium,a4,3,3,antipattern,detect,3,13,3,1,2,22
123,Budgeting Application,medium,a4,3,3,antipattern,detect,3,12,5,0,0,20
124,Cryptocurrency Exchange,medium,a4,3,3,antipattern,detect,3,16,4,0,0,23
126,Court Case Management System,medium,a4,3,3,antipattern,detect,4,13,3,1,0,21
127,Company Registration System,medium,a4,3,3,antipattern,detect,4,14,3,1,0,22
129,Legal Aid Management System,medium,a4,3,3,antipattern,detect,4,13,3,0,0,20
130,Electoral Roll Management System,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
131,Carpooling App,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
133,Mentorship Platform,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
135,Lost and Found System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
136,Book Club Platform,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
138,Livestreaming Platform,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
139,Digital Photography Platform,medium,a4,3,3,antipattern,detect,3,15,3,0,0,21
140,E-Book Publishing System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
141,Stadium Management System,medium,a4,3,3,antipattern,detect,5,15,3,1,0,24
142,Swimming Pool Booking System,medium,a4,3,3,antipattern,detect,5,13,4,0,0,22
143,Esports Tournament Platform,medium,a4,3,3,antipattern,detect,4,14,3,0,0,21
146,Yoga Class Booking,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
147,Climbing Gym Management System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
149,Cybersecurity Incident Reporting System,medium,a4,3,3,antipattern,detect,4,13,3,1,0,21
150,IT Asset Management System,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
152,Data Backup and Recovery System,medium,a4,3,3,antipattern,detect,3,13,4,1,0,21
153,API Management Portal,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
155,Driving School Management System,medium,a4,3,3,antipattern,detect,4,12,3,1,0,20
156,Wedding Planning Platform,medium,a4,3,3,antipattern,detect,4,14,3,0,0,21
157,Spa and Wellness Booking System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
158,Coworking Space Booking System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
159,Parking Lot Management System,medium,a4,3,3,antipattern,detect,4,14,3,1,0,22
160,Escape Room Booking System,medium,a4,3,3,antipattern,detect,3,15,5,0,0,23
161,Photography Studio Booking System,medium,a4,3,3,antipattern,detect,4,13,3,2,0,22
162,Pet Care Service Booking,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
165,Language Translation Service,medium,a4,3,3,antipattern,detect,3,14,4,0,0,21
167,Funeral Service Management System,medium,a4,3,3,antipattern,detect,4,15,3,1,0,23
169,Baby Equipment Rental Service,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
171,Gift Registry System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
172,Print-on-Demand Platform,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
174,Second-Hand Clothing Marketplace,medium,a4,3,3,antipattern,detect,3,15,3,0,0,21
175,Furniture Rental Service,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
179,Air Quality Monitoring System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
180,Crop Monitoring System,medium,a4,3,3,antipattern,detect,4,12,4,1,0,21
181,Irrigation Control System,medium,a4,3,3,antipattern,detect,4,12,4,1,0,21
186,Equipment Maintenance System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
188,Industrial Safety Reporting System,medium,a4,3,3,antipattern,detect,4,15,5,0,0,24
189,Product Recall Management System,medium,a4,3,3,antipattern,detect,5,14,5,1,0,25
190,Hazardous Materials Tracking System,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
191,Military Personnel Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
192,Border Control System,medium,a4,3,3,antipattern,detect,4,13,3,1,1,22
193,Graphic Novel Platform,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
194,Fan Fiction Community,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
7,Hotel Booking System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
10,Ride Sharing Service,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
15,Job Portal,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
3,Online Store,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
9,Food Delivery Platform,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
11,Music Streaming Platform,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
16,Grocery Delivery Service,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
35,Event Ticketing System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
39,School Administration System,small,a4,1,1,antipattern,detect,3,5,1,0,0,9
64,Volunteer Management System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
66,IT Help Desk System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
72,Home Services Booking,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
73,Construction Project Management,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
75,Cafe Order Management,small,a4,1,1,antipattern,detect,2,5,2,0,0,9
95,Water Utility Management,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
101,Nursing Home Management System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
102,Rehabilitation Centre System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
119,Mortgage Application System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
134,Alumni Network System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
137,Community Garden Management System,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
24,Fitness Tracking App,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
33,Real Estate Listing Platform,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
37,Digital Wallet System,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
45,Smart Home Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
48,Document Management System,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
58,Course Registration System,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
62,E-Voting System,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
70,Museum Ticketing System,medium,a4,3,3,antipattern,detect,4,12,4,1,0,21
77,Room Service Management,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
79,Tournament Registration System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
178,Solar Energy Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
182,Wildlife Conservation System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
183,Forest Fire Detection System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
184,Factory Floor Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
185,Quality Control System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
12,Video Streaming Platform,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
22,Online Gaming Platform,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
28,Customer Relationship Management,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
32,Loan Approval System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
53,Patient Records System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
54,Blood Bank Management,medium,a4,3,3,antipattern,detect,5,14,3,0,0,22
55,Veterinary Clinic System,medium,a4,3,3,antipattern,detect,3,10,3,0,0,16
61,Driver License Renewal System,medium,a4,3,3,antipattern,detect,4,13,4,1,0,22
63,Donation Management System,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
68,Legal Case Management System,medium,a4,3,3,antipattern,detect,4,14,4,0,0,22
83,Port Management System,medium,a4,3,3,antipattern,detect,5,11,3,1,0,20
84,Online Auction Platform,medium,a4,3,3,antipattern,detect,4,14,4,0,0,22
89,Wholesale Distribution System,medium,a4,3,3,antipattern,detect,3,12,3,1,0,19
90,Broadcasting Management System,medium,a4,3,3,antipattern,detect,4,12,3,1,0,20
104,Clinical Trial Management System,medium,a4,3,3,antipattern,detect,5,12,3,0,0,20
164,Self-Storage Facility System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
176,Farm Management System,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
177,Agricultural Marketplace,small,a4,1,1,antipattern,detect,3,7,1,0,0,11
108,Kindergarten Management System,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
128,Land Registry System,medium,a4,3,3,antipattern,detect,5,10,3,0,0,18
144,Athlete Training System,medium,a4,3,3,antipattern,detect,3,12,4,1,0,20
145,Sports Equipment Rental,medium,a4,3,3,antipattern,detect,2,11,3,1,0,17
148,Network Monitoring System,medium,a4,3,3,antipattern,detect,4,12,3,1,0,20
151,Software License Management System,medium,a4,3,3,antipattern,detect,4,12,3,1,0,20
154,Remote Desktop Service,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
163,Laundry Pickup Service,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
166,Event Decoration Booking System,medium,a4,3,3,antipattern,detect,3,12,3,2,0,20
168,Notary Service Booking System,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
125,Microfinance System,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
132,Skill Sharing Platform,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
173,Vending Machine Management System,medium,a4,3,3,antipattern,detect,3,12,3,0,0,18
187,Assembly Line Monitoring System,medium,a4,3,3,antipattern,detect,3,11,3,1,0,18
170,Price Comparison Portal,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
